SampleID,Cq_SAMP_B2M,Cq_SAMP_Tel,RTL_PU_CAL,RTL_resp_CAL,RTL_No_CAL,RTL_NO_CAL_Corrected,Plate,ExtrMethod
8,26.0154426,14.23458889,0.984486821,1.296227047,0.000524023,1.094818641,SpinColumn 1,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
8,25.87535678,14.58250871,0.999395124,1.227385958,0.00064426,0.806749276,SpinColumn 2,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
8,25.98084654,14.3857241,1.049297638,1.212,0.000542418,0.972965701,SpinColumn 3,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
8,NA,14.38782535,NA,NA,NA,NA,SpinColumn 4,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
8,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
8,25.92961948,14.01469664,0.906936961,1.297615976,0.00052908,1.188596479,PlateExtr 1,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
8,25.9071162,14.18016744,1.179697084,1.546,0.000543248,1.05424715,PlateExtr 2,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
8,26.01990855,13.79490048,1.11724789,1.559,0.000431533,1.443473044,PlateExtr 3,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
8,25.92240246,14.13075475,1.259940014,1.484,0.000492855,1.095169074,PlateExtr 4,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
8,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
9,26.43832772,14.75695097,0.808120484,0.808120484,0.00068954,1.032800399,Puregene 1,PU
9,NA,NA,NA,NA,NA,NA,Puregene 1,PU
9,NA,NA,NA,NA,NA,NA,Puregene 1,PU
9,26.20667533,15.04155582,0.756262242,0.756262242,0.000866742,0.744577421,Puregene 2,PU
9,NA,NA,NA,NA,NA,NA,Puregene 2,PU
9,NA,NA,NA,NA,NA,NA,Puregene 2,PU
9,26.51062577,14.99523591,0.932393122,0.932393122,0.000715018,0.929731386,Puregene 3,PU
9,NA,NA,NA,NA,NA,NA,Puregene 3,PU
9,NA,NA,NA,NA,NA,NA,Puregene 3,PU
9,26.34646272,15.33454372,0.812119756,0.812119756,0.000943603,0.676554617,Puregene 4,PU
9,NA,NA,NA,NA,NA,NA,Puregene 4,PU
9,NA,NA,NA,NA,NA,NA,Puregene 4,PU
9,25.99138134,14.90308971,0.640010213,0.842671055,0.00080607,0.711736408,SpinColumn 1,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
9,25.86719393,15.4183621,0.595862403,0.731795792,0.001080569,0.481002508,SpinColumn 2,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
9,26.04954847,15.15346354,0.683838014,0.79,0.0008323,0.63409171,SpinColumn 3,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
9,26.04004929,15.42440713,0.632329926,0.804454629,0.000996149,0.536406372,SpinColumn 4,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
9,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
9,25.23825227,13.93992851,0.616670472,0.882312102,0.000778118,0.808184456,PlateExtr 1,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
9,25.16069998,14.32863167,0.676051408,0.886,0.000947958,0.604159555,PlateExtr 2,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
9,25.23475697,13.90160398,0.639251188,0.892,0.000754209,0.825906109,PlateExtr 3,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
9,25.18743868,14.30631051,0.714842631,0.842,0.000868677,0.621357785,PlateExtr 4,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
9,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
10,26.3057933,13.74344614,1.415338096,1.415338096,0.000393709,1.80884136,Puregene 1,PU
10,NA,NA,NA,NA,NA,NA,Puregene 1,PU
10,NA,NA,NA,NA,NA,NA,Puregene 1,PU
10,26.24437093,14.02012545,1.48153182,1.48153182,0.000442437,1.458641033,Puregene 2,PU
10,NA,NA,NA,NA,NA,NA,Puregene 2,PU
10,NA,NA,NA,NA,NA,NA,Puregene 2,PU
10,26.39584162,13.92453461,1.708607076,1.708607076,0.000390188,1.703729458,Puregene 3,PU
10,NA,NA,NA,NA,NA,NA,Puregene 3,PU
10,NA,NA,NA,NA,NA,NA,Puregene 3,PU
